Experiment,Learning Rate,Gamma,Batch Size,Avg Train Reward,Avg Episode Length,Eval Mean Reward,Eval Std Reward,Eval Episodes,Is Best
1,0.001,0.95,32,0.0,505.54347826086956,0.0,0.0,10,True
2,0.001,0.99,32,0.0,416.59166666666664,0.0,0.0,10,False
3,0.0005,0.95,32,0.0,470.8709677419355,0.0,0.0,10,False
4,0.0005,0.97,64,0.0,324.05594405594405,0.0,0.0,10,False
5,0.0003,0.98,64,0.0,678.7945205479452,0.0,0.0,10,False
6,0.0002,0.99,64,0.0,737.4666666666667,0.0,0.0,10,False
7,0.0001,0.98,128,0.0,511.5208333333333,0.0,0.0,10,False
8,0.0005,0.99,32,0.0,1219.275,0.0,0.0,10,False
9,0.0001,0.95,32,0.0,905.0961538461538,0.0,0.0,10,False
10,0.0001,0.99,32,0.0,416.225,0.0,0.0,10,False
